"","state","stateabb","year","binge_all","binge_male","binge_female","poverty"
"314","South Dakota","SD",2016,19.3,24.3,14.3,13.3
"315","Tennessee","TN",2016,13.1,16.6,9.8,15.8
"316","Texas","TX",2016,17.9,24.4,11.7,15.6
"317","Utah","UT",2016,12.5,16.7,8.3,10.2
"318","Virginia","VA",2016,15.8,20.2,11.8,11
"319","Virgin Islands","VI",2016,15.2,22.9,8.6,NA
"320","Vermont","VT",2016,18.4,23.3,13.8,11.9
"321","Washington","WA",2016,16.4,20.7,12.2,11.3
"322","Wisconsin","WI",2016,24.6,29.7,19.5,11.8
"323","West Virginia","WV",2016,11.3,16.8,6.2,17.9
"324","Wyoming","WY",2016,18.4,24.2,12.5,11.3
"325","Alaska","AK",2010,NA,NA,NA,9.9
"326","Alabama","AL",2010,NA,NA,NA,19
"327","Arkansas","AR",2010,NA,NA,NA,18.8
"328","Arizona","AZ",2010,NA,NA,NA,17.4
"329","California","CA",2010,NA,NA,NA,15.8
"330","Colorado","CO",2010,NA,NA,NA,13.4
"331","Connecticut","CT",2010,NA,NA,NA,10.1
"332","District of Columbia","DC",2010,NA,NA,NA,19.2
"333","Delaware","DE",2010,NA,NA,NA,11.8
"334","Florida","FL",2010,NA,NA,NA,16.5
"335","Georgia","GA",2010,NA,NA,NA,17.9
"336","Hawaii","HI",2010,NA,NA,NA,10.7
"337","Iowa","IA",2010,NA,NA,NA,12.6
"338","Idaho","ID",2010,NA,NA,NA,15.7
"339","Illinois","IL",2010,NA,NA,NA,13.8
"340","Indiana","IN",2010,NA,NA,NA,15.3
"341","Kansas","KS",2010,NA,NA,NA,13.6
"342","Kentucky","KY",2010,NA,NA,NA,19
"343","Louisiana","LA",2010,NA,NA,NA,18.7
"344","Massachusetts","MA",2010,NA,NA,NA,11.4
"345","Maryland","MD",2010,NA,NA,NA,9.9
"346","Maine","ME",2010,NA,NA,NA,12.9
"347","Michigan","MI",2010,NA,NA,NA,16.8
"348","Minnesota","MN",2010,NA,NA,NA,11.6
"349","Missouri","MO",2010,NA,NA,NA,15.3
"350","Mississippi","MS",2010,NA,NA,NA,22.4
"351","Montana","MT",2010,NA,NA,NA,14.6
"352","North Carolina","NC",2010,NA,NA,NA,17.5
"353","North Dakota","ND",2010,NA,NA,NA,13
"354","Nebraska","NE",2010,NA,NA,NA,12.9
"355","New Hampshire","NH",2010,NA,NA,NA,8.3
"356","New Jersey","NJ",2010,NA,NA,NA,10.3
"357","New Mexico","NM",2010,NA,NA,NA,20.4
"358","Nevada","NV",2010,NA,NA,NA,14.9
"359","New York","NY",2010,NA,NA,NA,14.9
"360","Ohio","OH",2010,NA,NA,NA,15.8
"361","Oklahoma","OK",2010,NA,NA,NA,16.9
"362","Oregon","OR",2010,NA,NA,NA,15.8
"363","Pennsylvania","PA",2010,NA,NA,NA,13.4
"364","Puerto Rico","PR",2010,NA,NA,NA,45
"365","Rhode Island","RI",2010,NA,NA,NA,14
"366","South Carolina","SC",2010,NA,NA,NA,18.2
"367","South Dakota","SD",2010,NA,NA,NA,14.4
"368","Tennessee","TN",2010,NA,NA,NA,17.7
"369","Texas","TX",2010,NA,NA,NA,17.9
"370","Utah","UT",2010,NA,NA,NA,13.2
"371","Virginia","VA",2010,NA,NA,NA,11.1
"372","Vermont","VT",2010,NA,NA,NA,12.7
"373","Washington","WA",2010,NA,NA,NA,13.4
"374","Wisconsin","WI",2010,NA,NA,NA,13.2
"375","West Virginia","WV",2010,NA,NA,NA,18.1
"376","Wyoming","WY",2010,NA,NA,NA,11.2
